Anarchism	אנרכיזם
Aegean Sea	הים האגאי
A Clockwork Orange	תפוז מכני
Amsterdam	אמסטרדם
Audi	אאודי
Aircraft	כלי טיס
Alfred Nobel	אלפרד נובל
Alexander Graham Bell	אלכסנדר גרהם בל
Apple Inc.	אפל
American Civil War	מלחמת האזרחים האמריקנית
Andy Warhol	אנדי וורהול
Alp Arslan	אלפ ארסלאן
American Film Institute	מכון הסרטים האמריקאי
Akira Kurosawa	אקירה קורוסאווה
Ancient Egypt	מצרים העתיקה
Abjad	אבג'ד
Abugida	אבוגידה
ABBA	אבבא
A. van Vogt	אלפרד אלטון ואן ווגט
Anna Kournikova	אנה קורניקובה
Agnosticism	אגנוסטיות
Argon	ארגון
Arsenic	ארסן
Antimony	אנטימון
Actinium	אקטיניום
Americium	אמריציום
Astatine	אסטטין
Atom	אטום
Aluminium	אלומיניום
Anglican Communion	השיתוף האנגליקני
Archipelago	ארכיפלג
Author	מחבר
Andrey Markov	אנדריי מרקוב
Angst	ייאוש
Anxiety	חרדה
A. Milne	אלן אלכסנדר מילן
Axiom	אקסיומה
Alpha	אלפא
Alvin Toffler	אלווין טופלר
AM	Am
Antigua and Barbuda	אנטיגואה וברבודה
Albert Speer	אלברט שפר
Asteraceae	מורכבים
Apiaceae	סוככיים
Axon	אקסון
Aramaic alphabet	אלפבית ארמי
Ataxia	אטקסיה
Ada Lovelace	עדה לאבלייס
Alps	הרי האלפים
Albert Camus	אלבר קאמי
Agatha Christie	אגאתה כריסטי
The Plague	הדבר
Absolute value	ערך מוחלט
Arecales	דקלאים
Hercule Poirot	הרקול פוארו
Miss Marple	ג'יין מארפל
April	אפריל
August	אוגוסט
Aaron	אהרן
April 6	6 באפריל
April 12	12 באפריל
April 15	15 באפריל
April 30	30 באפריל
August 22	22 באוגוסט
August 27	27 באוגוסט
Alcohol	כוהל
Allen Ginsberg	אלן גינסברג
Algebraically closed field	שדה סגור אלגברית
August 6	6 באוגוסט
Anatoly Karpov	אנטולי קרפוב
Auto racing	מרוץ מכוניות
Anarcho-capitalism	אנרכו-קפיטליזם
August 9	9 באוגוסט
Aristophanes	אריסטופאנס
Albert Schweitzer	אלברט שווייצר
Austrian School	האסכולה האוסטרית
Abscess	מורסה
Aarhus	אורהוס
Alexis Carrel	אלכסיס קארל
All Souls' Day	יום כל הנשמות
Anatole France	אנטול פראנס
André Gide	אנדרה ז'יד
Almond	שקד מצוי
Antisemitism	אנטישמיות
Politics of American Samoa	פוליטיקה של סמואה האמריקנית
August 13	13 באוגוסט
Avicenna	אבן סינא
Analysis	אנליזה
Amplitude modulation	אפנון משרעת
Augustin-Jean Fresnel	אוגוסטן ז'אן פרנל
Abbot	אב מנזר
Ardipithecus	ארדיפיתקוס
Assembly line	פס ייצור
Adelaide	אדלייד
August 2	2 באוגוסט
Atlantic	אטלנטיק
Algebraic number	מספר אלגברי
Automorphism	אוטומורפיזם
Accordion	אקורדיון
Artificial intelligence	בינה מלאכותית
Anaximander	אנכסימנדרוס
Architect	אדריכל
Aphrodite	אפרודיטה
April 1	1 באפריל
Antisymmetric relation	יחס אנטי-סימטרי
Aleister Crowley	אליסטר קראולי
Afterlife	חיים לאחר המוות
Athena	אתנה
Alloy	סגסוגת
Angle	זווית
Asa	אסא
Acoustics	אקוסטיקה
Atomic physics	פיזיקה אטומית
Applet	יישומון
Alternate history	היסטוריה חלופית
Atomic orbital	אורביטל אטומי
Amino acid	חומצת אמינו
Alan Turing	אלן טיורינג
Area	שטח
Astronomical unit	יחידה אסטרונומית
Artist	אמן
Actaeon	אקטיון
Athens	אתונה
Anguilla	אנגווילה
Ashmore and Cartier Islands	איי אשמור וקרטייה
Alexander Mackenzie	אלכסנדר מקנזי
Ashoka	אשוקה
Ada	עדה
Alfonso Cuarón	אלפונסו קוארון
Arianism	אריאניות
August 1	1 באוגוסט
Antoninus Pius	אנטונינוס פיוס
August 3	3 באוגוסט
Advanced Encryption Standard	Advanced Encryption Standard
April 26	26 באפריל
Anisotropy	אנאיזוטרופיות
Alpha decay	קרינת אלפא
Analytical Engine	מנוע אנליטי
Augustus	אוגוסטוס קיסר
Antarctic Treaty System	הברית האנטארקטית
The Alan Parsons Project	The Alan Parsons Project
Almost all	כמעט כל
Annales School	אסכולת האנאל
Antimatter	אנטי-חומר
Casa Batlló	קאזה באליו
Park Güell	פארק גואל
Casa Milà	קאזה מילה
Antiparticle	אנטי-חלקיק
August 7	7 באוגוסט
August 8	8 באוגוסט
April 16	16 באפריל
Associative property	פעולה אסוציאטיבית
Apache Software Foundation	קרן התוכנה אפאצ'י
Apple I	Apple I
Apatosaurus	אפטוזאורוס
Allosaurus	אלוזאורוס
AK-47	AK-47
Atanasoff–Berry computer	מחשב אתנסוף ברי
Andes	הרי האנדים
Anchor	עוגן
Anbar	פירוז שבור
Anagram	אנגרמה
André-Marie Ampère	אנדרה מרי אמפר
Ammonia	אמוניה
Amethyst	אחלמה
Albertosaurus	אלברטוזאורוס
Assembly language	שפת סף
Ambrosia	אמברוסיה ונקטר
Ambrose	אמברוזיוס
Ambracia	אמפראקיה
Amber	ענבר
Alphorn	קרן האלפים
Army	צבא יבשה
Alligatoridae	אליגטוריים
Alder	אלנוס
Arachnophobia	ארכנופוביה
Alabaster	אלבסטר
Ahab	אחאב
Dasyproctidae	אגוטיים
Algol	אלגול
Amazing Grace	Amazing Grace
AOL	אמריקה און ליין
Anno Domini	ספירת הנוצרים
Alcuin	אלקואין
Amine	אמין
April 29	29 באפריל
August 14	14 באוגוסט
Absolute zero	האפס המוחלט
Adiabatic process	תהליך אדיאבטי
Amide	אמיד
Animism	אנימיזם
Antonio Vivaldi	אנטוניו ויוואלדי
Aare	ארה
Abraham	אברהם
Absalom	אבשלום
Abydos	אבידוס
Egypt Abydos	אבידוס
Abydos	אבידוס
August 15	15 באוגוסט
Acapulco	אקפולקו
August 16	16 באוגוסט
ALGOL	ALGOL
AWK	AWK
Asgard	אסגארד
Apollo program	תוכנית אפולו
Assault	תקיפה
Alemanni	אלמאנים
August 17	17 באוגוסט
August 12	12 באוגוסט
Alfred Russel Wallace	אלפרד ראסל וולאס
Australian Labor Party	מפלגת הלייבור האוסטרלית
August 18	18 באוגוסט
August 19	19 באוגוסט
August 21	21 באוגוסט
Albert	אלברט
Albert I	אלברט הראשון
Albert of Brandenburg	אלברכט מברנדנבורג
August 25	25 באוגוסט
Aachen	אאכן
Agate	אגט
Aspirin	אספירין
Abner	אבנר בן נר
Ahmed I	אהמט הראשון
Ahmed II	אהמט השני
Ahmed III	אהמט השלישי
Ainu people	איינו
Acropolis	אקרופוליס
Acupuncture	דיקור סיני
Aeneas	איניאס
April 13	13 באפריל
Amaranth	ירבוז
Agamemnon	אגממנון
Agesilaus II	אגסילאוס השני
Agrippina the Elder	אגריפינה
Ahmad Shah Durrani	אחמד שאה דוראני
Akkadian Empire	האימפריה האכדית
Ajax	איאס
Ajax	Ajax
Alaric I	אלאריק הראשון
Albertus Magnus	אלברטוס מגנוס
Alboin	אלבוין
Afonso de Albuquerque	אפונסו דה אלבוקרקי
Alcaeus of Mytilene	אלקאיוס
Alcmene	אלקמנה
Alexander Balas	אלכסנדר באלאס
Alexander II of Epirus	מלך אפירוס אלכסנדר השני
Alexander Jagiellon	אלכסנדר יגיילו
Alexander III of Russia	קיסר רוסיה אלכסנדר השלישי
Alexander I of Scotland	מלך סקוטלנד אלכסנדר הראשון
Alexander II of Scotland	מלך סקוטלנד אלכסנדר השני
Alexander I of Serbia	מלך סרביה אלכסנדר הראשון
Alexander III of Scotland	מלך סקוטלנד אלכסנדר השלישי
Severus Alexander	אלכסנדר סוורוס
Alexander I	אלכסנדר הראשון
Alexander II	אלכסנדר השני
Alexander III	אלכסנדר השלישי
Alexander Jannaeus	אלכסנדר ינאי
Alexios I Komnenos	קיסר האימפריה הביזנטית אלכסיוס הראשון
Tsarevich of Russia Alexei Petrovich	אלכסיי רומנוב
Andrew Jackson	אנדרו ג'קסון
Andrew Johnson	אנדרו ג'ונסון
Aleksandr Solzhenitsyn	אלכסנדר סולז'ניצין
Aberdeen	אברדין
August 23	23 באוגוסט
August 24	24 באוגוסט
Antipope	אנטי-אפיפיור
Aquaculture	חקלאות ימית
Kolmogorov complexity	סיבוכיות קולמוגורוב
April 28	28 באפריל
Alfred the Great	אלפרד הגדול
Algiers	אלג'יר
Alhazen	אבן אל-היית'ם
Almoravid dynasty	מוראביטון
Aloe	אלווי
Alyattes of Lydia	אליאטס
Age of consent	גיל ההסכמה
Afonso I of Portugal	מלך פורטוגל אפונסו הראשון
Afonso V of Portugal	מלך פורטוגל אפונסו החמישי
Afonso VI of Portugal	מלך פורטוגל אפונסו השישי
Alfonso XII of Spain	מלך ספרד אלפונסו השנים עשר
Alfonso XIII of Spain	מלך ספרד אלפונסו השלושה עשר
Alfonso the Battler	מלך אראגון אלפונסו הראשון
Amaryllis	אמריליס יפהפה
Alfonso I	אלפונסו הראשון
Amati	משפחת אמאטי
Amazons	אמזונה
Ambergris	ענבר אפור
Ambiorix	אמביוריקס
Amazon River	אמזונאס
April 22	22 באפריל
August 31	31 באוגוסט
Abu Bakr	אבו בכר
Ammon	עמון
Amphipolis	אמפיפוליס
Amram	עמרם
Anacharsis	אנכארסיס
Anaxagoras	אנכסגורס
Anaxarchus	אנקסארכוס
Anastasius I	אנסטסיוס הראשון
Anastasius II	אנסטסיוס השני
Anastasius	אנסטסיוס
Anaximenes of Miletus	אנכסימנס
Ancus Marcius	אנקוס מארקיוס
Andocides	אנדוקידס
Andrew II of Hungary	מלך הונגריה אנדראש השני
Ammianus Marcellinus	אמיאנוס מרקלינוס
Apollo 13	אפולו 13
Apollo 7	אפולו 7
Apollo 9	אפולו 9
Arthritis	דלקת מפרקים
April 2	2 באפריל
Acetylene	אצטילן
Alfred	אלפרד
August 28	28 באוגוסט
Athenian democracy	הדמוקרטיה האתונאית
Arabic numerals	ספרות הודיות-ערביות
April 9	9 באפריל
Apuleius	לוקיוס אפוליאוס
Alexander Selkirk	אלכסנדר סלקירק
Anti-ballistic missile	טיל נגד טילים
August 29	29 באוגוסט
August 30	30 באוגוסט
Acre	אקר
Adenosine triphosphate	ATP
Ægir	אגיר
Antibiotics	אנטיביוטיקה
Arnold Schwarzenegger	ארנולד שוורצנגר
Adam Smith	אדם סמית
Antoine Lavoisier	אנטואן לבואזיה
April 18	18 באפריל
April 23	23 באפריל
Amitabh Bachchan	אמיטאב באצ'אן
Allophone	אלופון
Affix	מוספית
Allegory	אלגוריה
Allotropy	אלוטרופיה
Augustin-Louis Cauchy	אוגוסטן לואי קושי
Archimedes	ארכימדס
Alternative medicine	רפואה אלטרנטיבית
Archimedean solid	פאון ארכימדי
Antiprism	אנטי-מנסרה
Approval voting	הצבעת אישור
Arizona State University	אוניברסיטת המדינה של אריזונה
April 14	14 באפריל
Alfred Jarry	אלפרד ז'ארי
Amalric	אמלריך
Amalric of Jerusalem	מלך ירושלים אמלריך הראשון
Aimery of Cyprus	מלך ירושלים אמלריך השני
Art Deco	אר דקו
ASCII art	אמנות ASCII
American English	אנגלית אמריקנית
Africa Alphabet	האלפבית של אפריקה
Australian English	אנגלית אוסטרלית
American Airlines Flight 77	טיסה 77 של אמריקן איירליינס
Ambush	מארב
Abzyme	נוגדן קטליטי
Allele	אלל
Ampicillin	אמפיצילין
Antimicrobial resistance	עמידות לאנטיביוטיקה
Antigen	אנטיגן
Autosome	אוטוזום
Al-Qaeda	אל-קאעידה
Alessandro Volta	אלסנדרו וולטה
Andromeda	אנדרומדה
Antlia	משאבה
Ara	מזבח
Arkansas	ארקנסו
Apus	ציפור גן עדן
Iran Abadan	אבאדאן
Alexander Fleming	אלכסנדר פלמינג
Andrew Carnegie	אנדרו קרנגי
Approximant consonant	עיצורים מקורבים
Astronomer Royal	האסטרונום המלכותי
Airline	חברת תעופה
Australian Capital Territory	טריטוריית הבירה האוסטרלית
Ally McBeal	אלי מקביל
American Civil Liberties Union	האיגוד האמריקאי לחירויות אזרחיות
Adobe Systems	אדובי מערכות
Alexander technique	שיטת אלכסנדר
Apparent magnitude	בהירות
Absolute magnitude	בהירות מוחלטת
Apollo 1	אפולו 1
Apollo 10	אפולו 10
Apollo 12	אפולו 12
Apollo 14	אפולו 14
Apollo 15	אפולו 15
Apollo 16	אפולו 16
Apollo 17	אפולו 17
American Revolution	המהפכה האמריקאית
April 17	17 באפריל
Alan Ayckbourn	אלן אייקבורן
Alpha Centauri	אלפא קנטאורי
Amiga	קומודור אמיגה
Abel Tasman	אבל ינזון טסמן
August 5	5 באוגוסט
Algebraic geometry	גאומטריה אלגברית
Texas Austin	אוסטין
Auschwitz concentration camp	אושוויץ
Archery	קשתות
Alvar Aalto	אלוור אלטו
A. Ayer	אלפרד ג'ולס אייר
André Weil	אנדרה וייל
Achaeans	אכאים
Atle Selberg	אטלה סלברג
Aeschylus	אייסכילוס
Amber Road	דרך הענבר
Andrew Wiles	אנדרו ויילס
Anne Brontë	אן ברונטה
Augustine of Hippo	אוגוסטינוס
Acting	משחק
Delian League	הליגה האטית-דלית
August Horch	אוגוסט הורך
Avionics	אוויוניקה
Ares	ארס
Alexander Grothendieck	אלכסנדר גרותנדיק
Alcoholics Anonymous	אלכוהוליסטים אנונימיים
Array data structure	מערך
Advance Australia Fair	המנון אוסטרליה
Amerigo Vespucci	אמריגו וספוצ'י
Aristide Maillol	אריסטיד מאיול
Antonio Canova	אנטוניו קנובה
Auguste Rodin	אוגוסט רודן
Michigan Ann Arbor	אן ארבור
Act of Settlement 1701	חוק ההסדר 1701
Aircraft hijacking	חטיפת מטוס
Acropolis of Athens	האקרופוליס באתונה
Aeronautics	אווירונאוטיקה
Auguste and Louis Lumière	האחים לומייר
Acts of the Apostles	מעשי השליחים
Assyria	אשור
Abijah	אביה
Aphasia	אפאזיה
Aorta	אבי העורקים
Abimelech	אבימלך מלך גרר
Asterix	אסטריקס
Arizona Cardinals	אריזונה קרדינלס
Atlanta Falcons	אטלנטה פלקונס
Adalbert of Prague	אדלברט מפראג
Associative algebra	אלגברה
Axiom of regularity	אקסיומת היסוד
IBM AIX	IBM AIX
AppleTalk	AppleTalk
Apple II series	Apple II
Apple III	Apple III
AVL tree	עץ AVL
Aliphatic compound	אליפטיות
Astrology	אסטרולוגיה
Ani DiFranco	אני דיפרנקו
Arizona Diamondbacks	אריזונה דיאמונדבקס
Aesthetics	אסתטיקה
Ark of the Covenant	ארון הברית
Atlanta Braves	אטלנטה ברייבס
Aaliyah	אליה
Armour	שריון
Armoured fighting vehicle	רכב קרבי משוריין
Anton Drexler	אנטון דרקסלר
All Quiet on the Western Front	במערב אין כל חדש
African Americans	אפרו-אמריקאים
Afrikaans	אפריקאנס
Aeolus	איולוס
ABC	ABC
Arsenal F.C.	ארסנל
Cuisine of the United States	המטבח של ארצות הברית
Ahmad Shah Massoud	אחמד שאה מסעוד
Atlantis	אטלנטיס
Autobiography	אוטוביוגרפיה
Arcadius	קיסר האימפריה הביזנטית ארקדיוס
Arabs	ערבים
Antisemitism in the Arab world	אנטישמיות בעולם הערבי
August 11	11 באוגוסט
Arcology	ארקולוגיה
April 5	5 באפריל
April 20	20 באפריל
April 19	19 באפריל
Abdulaziz al-Omari	עבד אל-עזיז אל-עומארי
Aage Bohr	אגה בוהר
Analytic geometry	גאומטריה אנליטית
Arabic alphabet	אלפבית ערבי
Arctic fox	שועל שלג
Abu Sayyaf	אבו סיאף
Armenian language	ארמנית
Aircraft carrier	נושאת מטוסים
Apicomplexa	נבגוניות
Argentine cuisine	המטבח הארגנטינאי
April 8	8 באפריל
Ad hominem	אד הומינם
Atari	אטארי
Antipope John XXIII	האנטי-אפיפיור יוחנן העשרים ושלושה
Antonio Salieri	אנטוניו סליירי
Analgesic	שיכוך כאב
AFC Ajax	אייאקס
Arthur Eddington	ארתור אדינגטון
April 3	3 באפריל
Alexis Korner	אלכסיס קורנר
Assault gun	תותח סער
Tank destroyer	משחית טנקים
Armored car	שריונית
AZ Alkmaar	א.ז. אלקמאר
Adrenal gland	בלוטת יותרת הכליה
Aramaic language	ארמית
Saint Titus	טיטוס
Actinide	אקטיניד
Arthur Miller	ארתור מילר
Anton Diabelli	אנטון דיאבלי
Anita Hill	אניטה היל
August 10	10 באוגוסט
Area 51	אזור 51
Audio signal processing	עיבוד אותות קול
Amdahl's law	חוק אמדל
April 27	27 באפריל
Ayahuasca	איוואסקה
Abbe number	מספר אבה
AD	Ad
Rise and Fall of the City of Mahagonny	עלייתה ונפילתה של העיר מהגוני
Antipope Felix II	פליקס השני
Alkaloid	אלקלואיד
Adventism	אדוונטיזם
Archbishop of Canterbury	הארכיבישוף מקנטרברי
Abstract data type	טיפוס נתונים מופשט
A.S. Roma	רומא
Abu Nidal Organization	ארגון אבו נידאל
Antibody	נוגדן
Alessandro Scarlatti	אלסנדרו סקרלטי
Aston Martin	אסטון מרטין
Albert Pike	אלברט פייק
Andhra Pradesh	אנדרה פרדש
Accelerated Graphics Port	Accelerated Graphics Port
Alois Alzheimer	אלויס אלצהיימר
Aedile	איידיל
American Airlines	אמריקן איירליינס
Antidepressant	תרופות נוגדות דיכאון
Auger effect	אפקט אוז'ה
April 11	11 באפריל
Adhesive	דבק
Anthony Hopkins	אנתוני הופקינס
Advanced Micro Devices	AMD
Albrecht Dürer	אלברכט דירר
Australian rules football	פוטבול אוסטרלי
Alban Berg	אלבן ברג
Analytical chemistry	כימיה אנליטית
A cappella	א-קפלה
Arrangement	עיבוד מוזיקלי
Alicante	אליקנטה
August 4	4 באוגוסט
Aurangzeb	אורנגזב
Alexandrine	חרוז אלכסנדרוני
Analog computer	מחשב אנלוגי
Alberto Giacometti	אלברטו ג'קומטי
Anthem	המנון
Albrecht Altdorfer	אלברכט אלטדורפר
Acceleration	תאוצה
Conservation-restoration of cultural heritage	רסטורציה
Anton Chekhov	אנטון צ'כוב
Apoptosis	אפופטוזה
Anal sex	מין אנאלי
Aarau	אראו
Aargau	ארגאו
Aba	אבא
Abaddon	אבדון
Arc de Triomphe	שער הניצחון בפריז
April 21	21 באפריל
ATM	ATM
Amazonite	אמאזוניט
Anthroposophy	אנתרופוסופיה
Aurochs	שור הבר
Asynchronous Transfer Mode	Asynchronous Transfer Mode
Anus	פי הטבעת
African National Congress	הקונגרס הלאומי האפריקני
Amphetamine	אמפטמין
Artillery	ארטילריה
Alexanderplatz	אלכסנדרפלאץ
Aswan	אסואן
Airbus A300	איירבוס A300
Adenylyl cyclase	אדנילט ציקלאז
Alexander Kerensky	אלכסנדר קרנסקי
Agent Orange	אייג'נט אורנג'
Ab urbe condita	Ab urbe condita
Administrative law	משפט מנהלי
April 10	10 באפריל
André the Giant	אנדרה הענק
Adrastea	אדרסטאה
Apache HTTP Server	Apache HTTP Server
Accounting	חשבונאות
Ant	נמליים
Adversarial system	השיטה האדברסרית
Abba Mari	אבא מרי הירחי
Abbas II of Egypt	עבאס חלמי השני
Adware	תוכנת פרסום
Aeacus	איאקוס
Aedui	איידואים
Aegadian Islands	האיים האגאדיים
Aegean civilizations	תרבויות אגאיות
Aegina	אגינה
Aegisthus	אייגיסתוס
Aegospotami	אייגוספוטמוי
Aelia Capitolina	איליה קפיטולינה
Atomic absorption spectroscopy	ספקטרוסקופיית בליעה אטומית
Ajaccio	אז'אקסיו
Affection	חיבה
Abba Arika	רב
Abbahu	רבי אבהו
Abd al-Rahman I	עבד א-רחמן הראשון
Abd-ar-Rahman III	עבד א-רחמן השלישי
Abdülaziz of the Ottoman Empire	אבדילאזיז
Thrace Abdera	אבדרה
Áed mac Cináeda	מלך סקוטלנד אייד'
Abdul Hamid I	אבדילהמיט הראשון
Aberration	אברציה
Aberration of light	אברציה כוכבית
Optical aberration	אברציה אופטית
Amy Grant	איימי גרנט
Au	Au
Anders Celsius	אנדרס צלזיוס
April 25	25 באפריל
April 24	24 באפריל
April 7	7 באפריל
Andalusia	אנדלוסיה
Abiathar	אביתר
Abigail	אביגיל
Azad Kashmir	אזאד קשמיר
Arabian Sea	הים הערבי
Aspartame	אספרטם
AutoCAD	אוטוקאד
Asexual reproduction	רבייה אל-זוויגית
Alkene	אלקן
Alkyne	אלקין
AbiWord	Abiword
Ames test	מבחן איימס
ACE inhibitor	מעכבי ACE
Parallel ATA	Parallel ATA
Ahimsa	אהימסה
Annals of Mathematics	Annals of Mathematics
Andrei Sakharov	אנדריי סחרוב
Astrobiology	אסטרוביולוגיה
Anthropic principle	העיקרון האנתרופי
Australian Army	צבא אוסטרליה
Active Directory	Active Directory
Arian	אריאן
Aron Nimzowitsch	אהרון נימצוביץ'
Aragonese language	אראגונית
Aerodynamics	אווירודינמיקה
Ash	אפר
Antigonid dynasty	השושלת האנטיגונידית
Afghan Hound	כלב אפגני
Azawakh	אזוואק
Acrylic paint	אקריליק
Angular momentum	תנע זוויתי
Plum pudding model	מודל עוגת הצימוקים
Atomic theory	התורה האטומית
Ai	AI
Aung San Suu Kyi	אונג סן סו צ'י
Abraham Joshua Heschel	אברהם יהושע השל
Aberdeen Bestiary	ספר החיות של אברדין
Aircraft spotting	תצפיתנות כלי טיס
Advertising	פרסומת
Ammeter	מד זרם
Amanda Hesser	אמנדה הסר
Antipsychotic	תרופות אנטי-פסיכוטיות
Duke of Teschen Archduke Charles	דוכס טשן הארכידוכס קרל
Active Server Pages	Active Server Pages
Amoxicillin	אמוקסיצילין
Amorphous solid	אמורפיות
A Wizard of Earthsea	הקוסם מארץ ים
Alex Lifeson	אלכס לייפסן
Artemis	ארטמיס
Arbeit macht frei	העבודה משחררת
Albinism	לבקנות
Anaïs Nin	אנאיס נין
Ackermann function	פונקציית אקרמן
Association for Computing Machinery	ACM
Anabaptists	אנבפטיזם
And did those feet in ancient time	ירושלים
Ariel Sharon	אריאל שרון
Anoa	אנואה
Agner Krarup Erlang	אגנר קרארוף ארלנג
Alkali	אלקלי
Alcoholism	אלכוהוליזם
Abstraction	הפשטה
Abelian group	חבורה אבלית
Austria-Hungary	האימפריה האוסטרו-הונגרית
Abracadabra	אברקדברה
Acts of Union 1707	חוקי האיחוד של 1707
Admiralty	האדמירליות
Amphibian	אמפיביה
Amputation	קטיעה
Anemometer	מד רוח
Archaeopteryx	ארכאופטריקס
Alan Jay Lerner	אלן ג'יי לרנר
Analcime	אנלציט
Alexey Pajitnov	אלכסיי פז'יטנוב
`Abdu'l-Bahá	עבד אל-בהאא'
Anubis	אנוביס
A Funny Thing Happened on the Way to the Forum	דבר מצחיק קרה לי בדרך לפורום
Autumn	סתיו
Alpha helix	סליל אלפא
Armageddon	ארמגדון
Athlon	Athlon
Amnon	אמנון
Amu Darya	אמו דריה
Arcturus	ארקטורוס
Albert Brooks	אלברט ברוקס
Antares	אנטארס
Aldebaran	אלדברן
Altair	אלטאיר
Alexandria	אלכסנדריה
Arithmetic–geometric mean	ממוצע אריתמטי-גאומטרי
Epsilon Ursae Majoris	אליות
Asymptote	אסימפטוטה
Ariane 5	אריאן 5
Arithmetic	אריתמטיקה
Algebraic closure	סגור אלגברי
Adolphe Sax	אדולף סאקס
Aspirated consonant	מנושפות העיצורים
Atlanta	אטלנטה
A Doll's House	בית בובות
AIM-7 Sparrow	AIM-7 ספארו
AIM-120 AMRAAM	AIM-120 אמראם
AGM-88 HARM	AGM-88 הארם
AGM-65 Maverick	AGM-65 מאבריק
Lockheed AC-130	לוקהיד AC-130
Alternative algebra	אלגברה אלטרנטיבית
Arbitrage	ארביטראז'
ACF Fiorentina	פיורנטינה
Arithmetic function	פונקציה אריתמטית
Alien and Sedition Acts	חוקי הזרים וההסתה
Antinomy	אנטינומיה
Ascending chain condition	תנאי שרשרת
Adin Steinsaltz	עדין אבן ישראל
A. Housman	אלפרד אדוארד האוסמן
Al Capone	אל קפונה
Athanasius of Alexandria	אתנסיוס
Azores	האיים האזוריים
Acceptance testing	בדיקות קבלה
Arno	ארנו
Anthony the Great	אנטוניוס הגדול
Apostles' Creed	נוסח השליחים
Amicable numbers	מספרים ידידים
Agar	אגר
Acid rain	גשם חומצי
Anthony of Saxony	מלך סקסוניה אנטון
Arlo Guthrie	ארלו גאת'רי
Antioxidant	נוגד חמצון
Brass	פליז
Bonn	בון
Ballroom dance	ריקודים סלוניים
The Birth of a Nation	הולדתה של אומה
Baltic Sea	הים הבלטי
Brackish water	מים מליחים
The Bronx	הברונקס
Belgium	בלגיה
Blues	בלוז
Berlin	ברלין
Bill Clinton	ביל קלינטון
Bar	בר
Beer	בירה
Bit	סיבית
Byte	בית
Boron nitride	בורון ניטריד
Bach	באך
The Beverly Hillbillies	הבוורלי הילבילים
Beryllium	בריליום
Britney Spears	בריטני ספירס
Brazil	ברזיל
Black Forest	היער השחור
Black Sea	הים השחור
Bible	ביבליה
British Columbia	קולומביה הבריטית
Gautama Buddha	גאוטמה בודהה
Bridge	גשר
Beadwork	חריזה
Board game	משחק לוח
Bead	חרוז
Branchiopoda	סרטנים מסננים
Baruch Spinoza	ברוך שפינוזה
Bird	עופות
